project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
4,2022-11-07 10:26:00,2022-11-07 11:20:00,40.07436995,38.48878632,34.93508974,32.89695442,34.93508974,lm,31.88687923,31.88687923,FALSE,0.967968413,5,5,3.048210508,3240,1.5,1.28931927,-0.736446844,67,BNFB,BN,FB,11/7/2022 10:26,11/7/2022 11:20,0.965892139,0.965236219,0.96137335,0.004156505,0.000108315,8.00422237515476e-40,TRUE
11,2022-11-09 13:38:00,2022-11-09 15:53:00,3.769652782,1.727039358,-2.257610021,-2.601550719,-2.257610021,lm,0.585053748,0.585053748,FALSE,0.730115861,5,5,0,8100,1.5,0.18778964,-0.153900588,47,CGFB,CG,FB,11/9/2022 13:38,11/9/2022 15:53,0.212678229,0.206758516,0.206363267,-0.000272091,4.53944553657323e-05,1.81244851579892e-08,TRUE
23,2022-11-10 10:35:00,2022-11-10 13:28:00,4.832162826,4.341985919,2.686631149,2.380705701,2.686631149,lm,0.754923461,0.754923461,FALSE,0.848635192,5,5,1.931707688,10380,1.5,0.068440139,-0.060711347,87,DTFB,DT,FB,11/10/2022 10:35,11/10/2022 13:28,0.89569732,0.895087363,0.884016204,0.000322184,8.40761047955593e-06,7.45928266838386e-86,TRUE
27,2022-11-10 15:35:00,2022-11-10 16:01:00,14.16645706,12.42059076,12.43409703,11.95094501,12.43409703,lm,5.401404899,5.401404899,FALSE,0.760650256,5,5,7.03269213,1560,1.5,0.608300258,-0.345262821,11,DTTR,DT,TR,11/10/2022 15:35,11/10/2022 16:01,0.86928614,0.863839729,0.867486875,0.001474908,0.000116745,4.27672032885992e-12,TRUE
15,2022-11-11 10:42:00,2022-11-11 11:08:00,19.87240316,19.18577053,17.98518668,17.2055916,17.98518668,lm,8.204133234,8.204133234,FALSE,0.885010177,5,5,9.781053442,1560,1.5,0.638423904,-0.383054342,11,DLFB,DL,FB,11/11/2022 10:42,11/11/2022 11:08,0.864853497,0.859222393,0.862609272,0.002122679,0.000171281,6.39621587144794e-12,TRUE
19,2022-11-11 14:46:00,2022-11-11 15:42:00,10.84194702,10.53465432,9.529399837,8.909338611,9.529399837,lm,0.136129593,0.136129593,FALSE,0.540927503,5,5,9.393270243,3360,1.5,0.665016255,-0.412020426,35,DLTR,DL,TR,11/11/2022 14:46,11/11/2022 15:42,0.660680003,0.6543963,0.657472306,0.001128603,0.000110066,2.79443098962028e-14,TRUE
45,2023-01-09 12:52:00,2023-01-09 13:51:00,1.3192888,1.352793629,2.659949012,2.616716668,2.659949012,lm,0.732627732,0.732627732,FALSE,0.79720293,5,5,1.92732128,3540,1.5,0.0371479,-0.041605601,5,DLFB,DL,FB,1/9/2023 12:52,1/9/2023 13:51,0.70755375,0.702423114,0.705406217,0.000315622,2.68765168951883e-05,7.52554656573093e-17,TRUE
46,2023-01-09 14:32:00,2023-01-09 14:59:00,12.45168883,13.63390079,14.27569308,14.48834312,14.27569308,lm,6.199982271,6.199982271,FALSE,0.757276199,5,5,8.075710807,1620,1.5,0.531307947,-0.325462108,13,DLFB,DL,FB,1/9/2023 14:32,1/9/2023 14:59,0.941410832,0.939157402,0.941167878,0.001697446,8.30478274481689e-05,1.5277553715249e-17,TRUE
48,2023-01-11 11:19:00,2023-01-11 14:08:00,-0.607665553,-0.063739745,-0.93094122,-1.179174243,-0.93094122,lm,0.301172605,0.301172605,FALSE,0.732980559,5,5,0,10140,1.5,0.039814796,-0.043191247,17,DTFB,DT,FB,1/11/2023 11:19,1/11/2023 14:08,0.220783083,0.216117113,0.202378589,-0.000109451,1.59114141107404e-05,1.15552406627535e-10,TRUE
49,2023-01-12 12:17:00,2023-01-12 14:23:00,0.844940399,0.682475311,0.650461209,0.658522729,0.650461209,lm,0.650461209,0.657732324,TRUE,0.873810528,5,5,0,7560,1.5,0.035954368,-0.030267245,30,CGFB,CG,FB,1/12/2023 12:17,1/12/2023 14:23,0.780851531,0.779084204,0.780600008,7.73928208870463e-05,3.68192401742532e-06,1.0786751466615e-42,TRUE
50,2023-01-13 11:04:00,2023-01-13 11:58:00,2.784897107,2.714989565,3.151859515,3.300072576,3.151859515,lm,NA,NA,FALSE,NA,0,5,NA,3240,1.5,0.046615274,-0.060498986,0,BNFB,BN,FB,1/13/2023 11:04,1/13/2023 11:58,0.817584036,0.814142225,0.814642053,0.000371299,2.4090810385874e-05,3.1470804072894e-21,TRUE
77,2023-03-06 12:06:00,2023-03-06 12:48:00,4.193462051,3.976403488,3.791911478,3.610007162,3.791911478,lm,NA,NA,FALSE,NA,0,5,NA,2520,1.5,0.098778362,-0.071460909,0,DLFB,DL,FB,3/6/2023 12:06,3/6/2023 12:48,0.930512584,0.928775399,0.927311843,0.000459875,1.98701983425862e-05,8.93694593240781e-25,TRUE
80,2023-03-08 10:28:00,2023-03-08 11:58:00,2.538145109,2.225894313,2.519735495,2.34236054,2.519735495,lm,1.540269623,1.540269623,FALSE,0.833432691,5,5,0.979465872,5400,1.5,0.143785255,-0.125631606,12,DTFB,DT,FB,3/8/2023 10:28,3/8/2023 11:58,0.419403617,0.412805931,0.412706661,0.000303562,3.80738583302959e-05,5.26226625855827e-12,TRUE
81,2023-03-09 09:17:00,2023-03-09 11:23:00,2.580198495,2.484320245,1.914717045,1.835750501,1.914717045,lm,0.500449519,0.500449519,FALSE,0.853100915,5,5,1.414267526,7560,1.5,0.043278918,-0.025967351,49,CGFB,CG,FB,3/9/2023 9:17,3/9/2023 11:23,0.831444451,0.830085132,0.829645166,0.000224369,9.07208730026044e-06,8.94974000110541e-50,TRUE
82,2023-03-10 09:36:00,2023-03-10 10:06:00,10.84070801,10.44111224,9.054772157,8.319204861,9.054772157,lm,4.949395247,4.949395247,FALSE,0.843828814,5,5,4.10537691,1800,1.5,0.46924816,-0.288162272,19,BVFB,BV,FB,3/10/2023 9:36,3/10/2023 10:06,0.850402989,0.845060239,0.842640842,0.001066044,8.44977524246839e-05,4.52980767298592e-13,TRUE
84,2023-03-10 12:40:00,2023-03-10 13:06:00,-7.743696617,-22.08056667,-31.16081821,-40.56967535,-31.16081821,lm,-78.22084654,-78.22084654,FALSE,0.988862778,5,5,0,1560,1.5,1.154922674,-1.621669358,11,BVTR,BV,TR,3/10/2023 12:40,3/10/2023 13:06,0.437279781,0.413833105,0.382108357,-0.003707764,0.000858565,0.000234953,TRUE
95,2023-05-01 14:35:00,2023-05-01 15:01:00,-236.108723,-256736.4185,193857.6117,-60865.39646,193857.6117,lm,NA,NA,FALSE,NA,0,5,NA,1560,1.5,104625.8828,-66576.41118,0,BVFB,BV,FB,5/1/2023 14:35,5/1/2023 15:01,0.006775973,-0.032952988,-0.147162396,23.38413495,56.62250423,0.683139723,FALSE
183,2023-09-15 10:23:00,2023-09-15 16:17:00,9849425123,-1.75521E+12,-1.03132E+12,-1.01946E+12,-1.03132E+12,lm,-116900.7672,-116900.7672,FALSE,0.41342104,5,5,0,21240,1.5,1833479509,-2871338031,236,DTFB,DT,FB,9/15/2023 10:23,9/15/2023 16:17,0.248082551,0.245909379,0.248037771,-132794961.8,12428837.83,3.22496047189398e-23,TRUE
186,2023-10-10 09:46:00,2023-10-10 11:03:00,-279852.4057,-191459.4497,-477765.9558,-495391.753,-477765.9558,lm,-753994.087,-753994.087,FALSE,0.920509143,5,5,0,4620,1.5,95452.76719,-96843.82573,228,BVFB,BV,FB,10/10/2023 9:46,10/10/2023 11:03,0.501013322,0.498834341,0.496193447,-57.77798122,3.810346412,1.99965724782913e-36,TRUE
