project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total
106,5/8/2023 14:46,5/8/2023 15:12,3.465266039,2.41072724,0.965969625,1.054538799,1560,1.5,0.090921782,-0.034077837,BVTR,BV,TR,0.915683625,0.912170442,0.000429804,2.6622477099606e-05,2.16698776566777e-14
118,5/11/2023 12:04,5/11/2023 14:55,0.599869033,0.599869033,0.904799974,0,10260,1.5,0.068793839,-0.050373362,CGFB,CG,FB,0.83967088,0.838722187,7.77746003252637e-05,2.61424384049887e-06,4.45004656394035e-69
122,5/12/2023 10:01,5/12/2023 13:03,0.771846126,0.771846126,0.995923777,0,10920,1.5,0.045014033,-0.029998198,DTFB,DT,FB,0.861929803,0.861158461,9.86137851978712e-05,2.95002119817164e-06,7.01023382014199e-79
129,6/15/2023 10:28,6/15/2023 13:04,0.610774082,0.610774082,0.948353612,0,9360,1.5,0.055729665,-0.040771389,DTFB,DT,FB,0.690458998,0.688448991,7.76505220219944e-05,4.18961547367804e-06,4.6985796212896e-41
162,9/11/2023 10:08,9/11/2023 10:53,2.571964057,1.736409877,0.990104568,0.83555418,2700,1.5,0.073189696,-0.025993698,BVFB,BV,FB,0.863204379,0.860095387,0.000318957,1.91419102520055e-05,1.26413578342361e-20
164,9/11/2023 12:45,9/11/2023 13:28,2.535834782,2.535834782,0.98902751,0,2580,1.5,0.143007781,-0.102241703,BVTR,BV,TR,0.404277858,0.390093997,0.000323944,6.06774583265141e-05,3.52188182738778e-06
174,9/12/2023 11:10,9/12/2023 11:36,8.099000912,3.17147186,0.834987023,4.927529053,1560,1.5,0.256610731,-0.120563196,DLFB,DL,FB,0.916724948,0.913393946,0.001021806,6.15936900455433e-05,5.2783123067047e-15
178,9/12/2023 13:05,9/12/2023 13:57,5.226187107,3.616047455,0.971369305,1.610139652,3120,1.5,0.196536982,-0.104405775,DLTR,DL,TR,0.777362761,0.772997324,0.000675945,5.06539695673898e-05,2.89828594196154e-18
185,9/15/2023 10:23,9/15/2023 16:08,1.48631442,1.205703289,0.872406166,0.280611132,20700,1.5,0.239339889,-0.218620034,DTFB,DT,FB,0.496384651,0.494810853,0.000196182,1.10465175049212e-05,1.36644478611359e-49
225,1/22/2024 11:11,1/22/2024 12:13,0.042611233,0.042611233,0.791172964,0,3720,1.5,0.02797414,-0.024357072,DLFB,DL,FB,0.007215262,-0.00933115,5.09901002061399e-06,7.72167860299467e-06,0.511556587
228,1/22/2024 13:52,1/22/2024 15:10,0.035448073,NA,NA,NA,4680,1.5,0.006121955,-0.005213986,DLTR,DL,TR,0.249516546,0.239641763,4.19471012793397e-06,8.34480215788592e-07,3.22931174612233e-06
233,1/24/2024 10:16,1/24/2024 10:53,1.705843663,1.37041199,0.989010322,0.335431673,2220,1.5,0.031933676,-0.007461525,CGFB,CG,FB,0.981377499,0.980845427,0.000204129,4.75304379601857e-06,7.1833839309284e-32
236,1/24/2024 11:17,1/24/2024 12:46,0.430008896,0.430008896,0.905558276,0,5340,1.5,0.037883343,-0.036497393,CGFB,CG,FB,0.382064938,0.374962236,5.17410115718497e-05,7.0546929450872e-06,1.09221354045415e-10
241,1/25/2024 10:34,1/25/2024 12:00,0.041775191,0.041775191,0.952958402,0,5160,1.5,0.00217021,-0.001302126,DTFB,DT,FB,0.310971275,0.302768552,4.93341548005319e-06,8.01247294621439e-07,2.44092578655989e-08
245,1/29/2024 9:37,1/29/2024 10:24,1.505321706,0.134753154,0.211936933,1.370568551,2820,1.5,0.033465105,-0.041298335,BVFB,BV,FB,0.432173887,0.419829841,0.000177683,3.00292535404269e-05,3.85593529723569e-07
249,1/29/2024 12:44,1/29/2024 13:30,-0.237210277,-4.451383702,0.995534038,0,2760,1.5,0.076092893,-0.085326689,BVTR,BV,TR,0.011488787,-0.010478129,-2.88E-05,3.98302312633772e-05,0.473305457
452,9/22/2024 10:46,9/22/2024 11:56,4.826034258,4.826034258,0.993058465,0,4200,1.5,0.184605694,-0.104513723,DLFB,DL,FB,0.765470417,0.762021452,0.000615496,4.13147776638655e-05,4.23606959067347e-23
456,9/22/2024 13:12,9/22/2024 14:16,2.280900367,2.280900367,0.975559408,0,3840,1.5,0.202780186,-0.155643066,DLTR,DL,TR,0.305272726,0.294067448,0.00029917,5.73172241020679e-05,2.20595221935991e-06
